-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  6  3 27.158 0.426  10.92  73.39  990.88  1.512  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  4 29.566 0.743  15.65  62.08  988.87  1.977  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  5 10.583 0.942  15.55  85.60  982.49  2.631  6.549    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  6 31.854 0.084  12.37  52.22  986.38  3.204  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  7 21.997 0.953  13.31  56.92  984.69  2.757  0.086    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  8  5.364 0.993  16.60  92.55  971.13  3.742 22.813    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6  9 10.134 0.996  16.45  91.28  970.52  1.831 10.749    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 10 22.762 0.781  17.40  80.26  973.21  3.203 13.725    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 11 16.784 0.831  18.28  75.62  974.88  4.694  1.724    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 12  9.187 0.914  16.74  84.71  980.29  2.451 16.269    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 13 29.455 0.361  18.16  68.33  981.82  3.462  0.001    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 14 28.495 0.877  16.92  54.26  985.85  2.311  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  6 15 16.155 0.898  17.50  77.96  981.33  2.643  0.832    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
