"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"111",2017,10,2,16.009,0.393,10.74,73.77,996.76,2.137,0,2017-10-02,"275",254,123,306,"buoy","lf"
"112",2017,10,3,16.107,0.827,12.1,69.81,997.58,2.694,0,2017-10-03,"276",254,123,306,"buoy","lf"
"113",2017,10,4,9.341,0.861,16.36,83.11,985.46,4.622,15.922,2017-10-04,"277",254,123,306,"buoy","lf"
"114",2017,10,5,10.189,0.677,12.7,80.3,982.61,3.227,0.047,2017-10-05,"278",254,123,306,"buoy","lf"
"115",2017,10,6,11.207,0.415,10.86,79.11,983.63,2.568,0.3,2017-10-06,"279",254,123,306,"buoy","lf"
"116",2017,10,7,2.929,0.836,11.74,98.39,981.3,2.192,3.483,2017-10-07,"280",254,123,306,"buoy","lf"
"117",2017,10,8,9.018,0.734,17.5,85.79,974.55,4.496,16.209,2017-10-08,"281",254,123,306,"buoy","lf"
"118",2017,10,9,4.389,0.739,13.84,97.21,979.85,2.06,5.561,2017-10-09,"282",254,123,306,"buoy","lf"
"119",2017,10,10,12.669,0.199,13.96,84.05,983.65,3.162,0.342,2017-10-10,"283",254,123,306,"buoy","lf"
"120",2017,10,11,10.797,0.676,6.52,70.24,992.89,2.405,0,2017-10-11,"284",254,123,306,"buoy","lf"
"121",2017,10,12,14.568,0.171,6.16,69.41,997.24,2.268,0,2017-10-12,"285",254,123,306,"buoy","lf"
"122",2017,10,13,11.245,0.416,8.98,72.47,992.61,2.7,0.415,2017-10-13,"286",254,123,306,"buoy","lf"
"123",2017,10,14,1.74,0.997,12.96,94.36,987.95,2.864,1.159,2017-10-14,"287",254,123,306,"buoy","lf"
"124",2017,10,15,1.574,0.99,13.65,94.39,972.35,4.998,25.936,2017-10-15,"288",254,123,306,"buoy","lf"
"125",2017,10,16,6.15,0.707,3.86,69.86,983.66,3.475,0.188,2017-10-16,"289",254,123,306,"buoy","lf"
"126",2017,10,17,10.817,0.486,5.26,75.63,985.56,4.346,0.011,2017-10-17,"290",254,123,306,"buoy","lf"
"127",2017,10,18,12.995,0.099,10.92,73.93,986.75,3.175,0,2017-10-18,"291",254,123,306,"buoy","lf"
"128",2017,10,19,10.333,0.287,13.01,67.48,979.96,5.251,0.303,2017-10-19,"292",254,123,306,"buoy","lf"
"129",2017,10,20,12.559,0.04,9.85,59.87,984.24,3.698,0,2017-10-20,"293",254,123,306,"buoy","lf"
"130",2017,10,21,12.065,0.409,11.59,73.77,989.74,1.956,0,2017-10-21,"294",254,123,306,"buoy","lf"
"131",2017,10,22,11.543,0.512,11.7,78.3,992.59,1.517,0,2017-10-22,"295",254,123,306,"buoy","lf"
"132",2017,10,23,10.481,0.901,12.78,76.66,986.4,2.828,0,2017-10-23,"296",254,123,306,"buoy","lf"
"133",2017,10,24,1.383,0.867,14.73,91.87,974.26,3.95,29.775,2017-10-24,"297",254,123,306,"buoy","lf"
"134",2017,10,25,11.326,0.498,10.98,73.64,972.9,2.877,0.001,2017-10-25,"298",254,123,306,"buoy","lf"
"135",2017,10,26,3.297,0.986,7.47,83.26,974.08,2.385,4.004,2017-10-26,"299",254,123,306,"buoy","lf"
"136",2017,10,27,8.159,0.671,5.61,79.03,979.03,3.316,0.53,2017-10-27,"300",254,123,306,"buoy","lf"
"137",2017,10,28,10.888,0.546,9.15,81.09,977.8,2.89,1.603,2017-10-28,"301",254,123,306,"buoy","lf"
"138",2017,10,29,0.934,1,8.89,98.63,974.06,3.183,29.45,2017-10-29,"302",254,123,306,"buoy","lf"
"139",2017,10,30,2.373,0.871,8.98,85.85,954.72,7.389,30.193,2017-10-30,"303",254,123,306,"buoy","lf"
"140",2017,10,31,8.073,0.44,4.45,74.85,974.48,5.996,2.224,2017-10-31,"304",254,123,306,"buoy","lf"
"141",2017,11,1,6.198,0.921,1.91,86.01,990.57,2.068,3.05,2017-11-01,"305",254,123,306,"buoy","lf"
"142",2017,11,2,0.952,1,7,98.9,984.71,2.944,26.598,2017-11-02,"306",254,123,306,"buoy","lf"
"143",2018,9,27,12.146,0.556,9.79,76.53,986.94,2.066,0.008,2018-09-27,"270",270,130,303,"buoy","lf"
"144",2018,9,28,12.37,0.731,12.89,79.75,983.01,3.298,1.348,2018-09-28,"271",270,130,303,"buoy","lf"
